OBJECTID,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,XGCSWGS84,YGCSWGS84,Kommentar,Stadtteil,typ,involved,art
,2025,9,9,5,Unfall mit Getöteten,,,,,,,,,"8,520400","49,494868","28.09.2025, Feudenheim, ein 36-jähriger Radfahrer von einem Pkw auf dem Fußgängerüberweg an der Kreuzung Wingertsbuckel/Am Aubuckel gegen 21 Uhr erfasst und tödlich verletzt, der Unfallverursacher flüchtete.",Feudenheim,Unbekannt,Fahrrad,Unbekannt
,2025,6,8,2,Unfall mit Getöteten,,,,,,,,,"8,501702","49,504912","30.06.2025: Am Montag kollidierten auf der BBC‑Brücke (Friedrich‑Ebert‑Straße) in Mannheim ein 63‑jähriger Radfahrer und die 70‑jährige Ingrid Derwis, ein engagiertes Mitglied des ADFC Mannheim. Beide stürzten, sie erlitt schwere Verletzungen und verstarb am 2. Juli 2025 im Krankenhaus. Der Mann wurde leicht verletzt. Polizei und Staatsanwaltschaft ermitteln zum Unfallhergang und prüfen auch, ob eingeschränkte Sicht durch überwucherte Baumtriebe auf der Brücke eine Rolle spielte. Siehe auch https://mannheim.adfc.de/artikel/nachruf-auf-ingrid-derwis .",Käfertal,Unbekannt,Fahrrad,Unbekannt
,2024,12,18,7,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,"8,480979516000048","49,535643217000029",,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,17,7,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,"8,467099681000036","49,484994234000055",,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,11,7,Unfall mit Leichtverletzten,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"8,473860832000071","49,546686985000065",,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,17,5,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,"8,463727051000035","49,488789527000051",,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,11,5,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,"8,481731825000054","49,525800440000069",,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,17,4,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,"8,476500454000075","49,465110539000079",,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,7,4,Unfall mit Leichtverletzten,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,"8,470293801000025","49,493555009000033",,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2024,12,12,3,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,"8,570920665000074","49,461008597000045",,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,7,3,Unfall mit Leichtverletzten,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,"8,480528187000061","49,489339530000052",,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,15,2,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,"8,566748336000046","49,460248822000040",,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2024,12,15,2,Unfall mit Leichtverletzten,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"8,474916534000045","49,465022453000074",,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug
,2024,11,12,7,Unfall mit Leichtverletzten,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,"8,474448261000020","49,489488871000049",,,sonstiger Unfall,"Fahrrad, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß mit anfahrendem/ anhaltendem/ ruhendem Fahrzeug
,2024,11,20,6,Unfall mit Leichtverletzten,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,"8,464582090000022","49,490909278000061",,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug
,2024,11,11,6,Unfall mit Leichtverletzten,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,"8,465142897000021","49,489007835000052",,,Abbiegeunfall,"Fahrrad, Tram/Bus (bis 2017 auch LKW)",Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug
,2024,11,20,5,Unfall mit Leichtverletzten,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,"8,467559148000021","49,486198954000031",,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Zusammenstoß mit anfahrendem/ anhaltendem/ ruhendem Fahrzeug
